iter	Passed	Remaining
455	899	18817
456	900	18812
457	902	18807
458	904	18798
459	906	18790
460	907	18782
461	909	18768
462	910	18758
463	912	18749
464	913	18738
465	915	18733
466	916	18718
467	918	18708
468	920	18697
469	921	18693
470	923	18691
471	925	18680
472	926	18668
473	928	18660
474	930	18649
475	931	18640
476	933	18630
477	934	18622
478	936	18615
479	938	18610
480	939	18601
481	941	18593
482	942	18580
483	944	18574
484	946	18565
485	947	18554
486	949	18550
487	951	18542
488	952	18530
489	954	18526
490	956	18515
491	957	18506
492	959	18499
493	960	18489
494	962	18484
495	964	18484
496	966	18474
497	968	18470
498	969	18463
499	971	18455
500	972	18447
501	974	18440
502	976	18430
503	978	18427
504	979	18424
505	981	18417
506	983	18406
507	984	18398
508	986	18390
509	987	18384
510	989	18378
511	991	18369
512	993	18364
513	994	18357
514	996	18346
515	997	18338
516	999	18332
517	1001	18324
518	1002	18318
519	1004	18310
520	1006	18310
521	1007	18302
522	1009	18294
523	1011	18285
524	1012	18279
525	1015	18283
526	1016	18274
527	1018	18264
528	1020	18265
529	1021	18258
530	1023	18250
531	1024	18241
532	1026	18233
533	1028	18234
534	1030	18233
535	1032	18228
536	1034	18225
537	1035	18220
538	1037	18216
539	1039	18213
540	1041	18205
541	1043	18201
542	1044	18199
543	1046	18193
544	1048	18192
545	1050	18183
546	1051	18173
547	1053	18164
548	1055	18162
549	1056	18156
550	1058	18150
551	1060	18150
552	1062	18142
553	1063	18133
554	1065	18124
555	1066	18119
556	1068	18108
557	1069	18099
558	1071	18089
559	1072	18085
560	1074	18081
561	1076	18080
562	1078	18075
563	1080	18069
564	1081	18066
565	1083	18062
566	1085	18062
567	1087	18066
568	1089	18063
569	1091	18058
570	1093	18053
571	1094	18047
572	1096	18037
573	1097	18029
574	1099	18022
575	1101	18014
576	1103	18016
577	1104	18008
578	1106	18002
579	1108	17999
580	1109	17993
581	1111	17986
582	1113	17979
583	1114	17974
584	1116	17970
585	1118	17963
586	1119	17957
587	1121	17951
588	1123	17945
589	1124	17939
590	1126	17933
591	1128	17928
592	1130	17926
593	1131	17919
594	1133	17913
595	1134	17907
596	1136	17898
597	1138	17896
598	1139	17888
599	1141	17880
600	1142	17874
601	1144	17874
602	1146	17869
603	1148	17860
604	1149	17852
605	1151	17845
606	1152	17838
607	1154	17830
608	1155	17823
609	1157	17820
610	1159	17817
611	1161	17812
612	1162	17803
613	1164	17797
614	1165	17791
615	1167	17783
616	1168	17776
617	1170	17773
618	1172	17765
619	1174	17766
620	1175	17759
621	1177	17754
622	1179	17748
623	1181	17745
624	1182	17740
625	1184	17734
626	1185	17726
627	1187	17723
628	1189	17717
629	1190	17708
630	1192	17700
631	1193	17696
632	1195	17690
633	1197	17684
634	1198	17680
635	1200	17675
636	1202	17671
637	1203	17667
638	1205	17660
639	1207	17654
640	1208	17647
641	1210	17639
642	1211	17630
643	1213	17635
644	1227	17804
645	1229	17800
646	1231	17797
647	1232	17792
648	1234	17784
649	1235	17777
650	1237	17768
651	1238	17762
652	1240	17754
653	1242	17751
654	1243	17747
655	1245	17746
656	1247	17741
657	1249	17734
658	1250	17727
659	1252	17723
660	1253	17716
661	1255	17709
662	1257	17706
663	1258	17699
664	1260	17692
665	1261	17684
666	1263	17679
667	1264	17671
668	1266	17664
669	1267	17657
670	1269	17649
671	1271	17648
672	1273	17645
673	1274	17638
674	1276	17631
675	1278	17627
676	1279	17619
677	1281	17614
678	1282	17608
679	1284	17605
680	1286	17599
681	1287	17594
682	1289	17589
683	1290	17582
684	1292	17574
685	1293	17567
686	1295	17559
687	1297	17556
688	1298	17550
689	1300	17545
690	1302	17540
691	1303	17531
692	1305	17526
693	1306	17519
694	1308	17515
695	1309	17509
696	1311	17504
697	1313	17502
698	1315	17498
699	1316	17492
700	1318	17487
701	1320	17484
702	1321	17478
703	1323	17470
704	1324	17465
705	1326	17461
706	1328	17459
707	1330	17455
708	1331	17452
709	1333	17449
710	1335	17442
711	1336	17437
712	1338	17436
713	1340	17432
714	1342	17431
715	1343	17426
716	1345	17420
717	1347	17413
718	1348	17407
719	1350	17405
720	1352	17407
721	1354	17407
722	1356	17402
723	1357	17397
724	1359	17389
725	1361	17386
726	1362	17379
727	1364	17374
728	1365	17371
729	1367	17368
730	1369	17366
731	1370	17357
732	1372	17353
733	1374	17348
734	1375	17343
735	1377	17336
736	1378	17330
737	1381	17332
738	1382	17327
739	1384	17319
740	1385	17315
741	1387	17315
742	1389	17310
743	1390	17303
744	1392	17296
745	1394	17294
746	1396	17292
747	1397	17285
748	1399	17281
749	1400	17274
750	1401	17266
751	1403	17259
752	1404	17253
753	1406	17245
754	1408	17242
755	1409	17240
756	1411	17234
757	1413	17232
758	1414	17225
759	1416	17222
760	1418	17216
761	1419	17211
762	1421	17204
763	1422	17199
764	1424	17193
765	1425	17187
766	1427	17181
767	1428	17174
768	1430	17171
769	1431	17163
770	1433	17155
771	1434	17152
772	1436	17146
773	1438	17144
774	1439	17139
775	1441	17135
776	1443	17129
777	1444	17126
778	1446	17120
779	1447	17113
780	1449	17113
781	1451	17106
782	1452	17099
783	1454	17095
784	1455	17089
785	1457	17085
786	1458	17079
787	1460	17074
788	1462	17068
789	1463	17067
790	1465	17061
791	1467	17056
792	1468	17053
793	1470	17048
794	1472	17045
795	1473	17039
796	1475	17033
797	1477	17033
798	1478	17030
799	1480	17025
800	1481	17019
801	1483	17014
802	1485	17009
803	1486	17004
804	1488	16999
805	1489	16993
806	1491	16989
807	1492	16983
808	1494	16977
809	1495	16971
810	1497	16967
811	1499	16962
812	1500	16956
813	1502	16952
814	1504	16951
815	1505	16946
816	1507	16944
817	1508	16937
818	1510	16937
819	1512	16934
820	1514	16932
821	1515	16926
822	1517	16924
823	1519	16920
824	1521	16924
825	1523	16921
826	1524	16914
827	1526	16906
828	1527	16903
829	1529	16897
830	1530	16891
831	1533	16894
832	1535	16892
833	1537	16896
834	1539	16894
835	1541	16892
836	1542	16887
837	1544	16882
838	1545	16879
839	1547	16875
840	1549	16873
841	1550	16868
842	1552	16865
843	1554	16859
844	1555	16855
845	1557	16850
846	1558	16845
847	1560	16841
848	1562	16842
849	1564	16838
850	1565	16834
851	1567	16828
852	1568	16823
853	1570	16819
854	1572	16814
855	1573	16813
856	1575	16810
857	1577	16806
858	1578	16801
859	1580	16796
860	1581	16790
861	1583	16783
862	1584	16779
863	1587	16785
864	1589	16784
865	1590	16779
866	1592	16774
867	1594	16771
868	1595	16767
869	1597	16763
870	1599	16759
871	1601	16761
872	1603	16760
873	1605	16759
874	1606	16754
875	1608	16750
876	1610	16750
877	1611	16746
878	1613	16742
879	1615	16739
880	1616	16736
881	1618	16733
882	1619	16726
883	1621	16722
884	1623	16719
885	1624	16714
886	1626	16709
887	1628	16708
888	1630	16706
889	1631	16701
890	1633	16696
891	1634	16692
892	1636	16688
893	1638	16684
894	1639	16679
895	1641	16677
896	1643	16674
897	1644	16670
898	1646	16666
899	1647	16659
900	1649	16655
901	1650	16652
902	1652	16648
903	1654	16649
904	1656	16647
905	1658	16643
906	1659	16638
907	1661	16634
908	1662	16629
909	1664	16623
910	1665	16619
911	1667	16613
912	1668	16608
913	1670	16608
914	1672	16604
915	1673	16599
916	1675	16596
917	1677	16593
918	1679	16593
919	1680	16589
920	1682	16583
921	1684	16584
922	1686	16580
923	1687	16577
924	1689	16573
925	1691	16570
926	1692	16564
927	1694	16561
928	1695	16557
929	1697	16556
930	1699	16552
931	1700	16549
932	1702	16543
933	1704	16542
934	1705	16539
935	1707	16535
936	1709	16530
937	1710	16525
938	1712	16523
939	1714	16520
940	1715	16514
941	1717	16511
942	1718	16507
943	1720	16504
944	1722	16500
945	1723	16496
946	1725	16493
947	1727	16492
948	1728	16489
949	1730	16486
950	1732	16481
951	1733	16477
952	1735	16472
953	1736	16469
954	1738	16466
955	1740	16465
956	1742	16462
957	1743	16457
958	1745	16453
959	1746	16449
960	1748	16444
961	1749	16439
962	1751	16434
963	1753	16432
964	1755	16431
965	1756	16427
966	1758	16422
967	1759	16419
968	1761	16414
969	1762	16410
970	1764	16406
971	1765	16401
972	1767	16397
973	1769	16395
974	1770	16392
975	1772	16387
976	1774	16384
977	1775	16380
978	1777	16375
979	1778	16370
980	1780	16369
981	1782	16366
982	1784	16364
983	1785	16360
984	1787	16356
985	1788	16351
986	1790	16346
987	1791	16340
988	1793	16337
989	1794	16335
990	1796	16331
991	1798	16327
992	1799	16323
993	1801	16319
994	1802	16315
995	1804	16312
996	1805	16307
997	1807	16303
998	1809	16301
999	1811	16300
1000	1812	16296
1001	1814	16293
1002	1815	16288
1003	1817	16285
1004	1819	16281
1005	1820	16276
1006	1822	16276
1007	1824	16273
1008	1825	16269
1009	1827	16265
1010	1828	16261
1011	1830	16257
1012	1832	16254
1013	1833	16252
1014	1835	16250
1015	1837	16249
1016	1839	16246
1017	1841	16243
1018	1842	16241
1019	1844	16237
1020	1846	16234
1021	1847	16231
1022	1849	16226
1023	1851	16225
1024	1852	16224
1025	1854	16221
1026	1856	16216
1027	1857	16212
1028	1858	16206
1029	1860	16203
1030	1862	16200
1031	1863	16195
1032	1865	16191
1033	1866	16187
1034	1868	16182
1035	1869	16176
1036	1871	16171
1037	1872	16168
1038	1874	16166
1039	1875	16162
1040	1877	16159
1041	1879	16159
1042	1881	16156
1043	1882	16152
1044	1884	16148
1045	1886	16144
1046	1887	16142
1047	1889	16138
1048	1890	16135
1049	1892	16132
1050	1894	16128
1051	1895	16125
1052	1897	16121
1053	1899	16118
1054	1900	16114
1055	1902	16111
1056	1903	16108
1057	1905	16103
1058	1907	16101
1059	1908	16097
1060	1910	16092
1061	1911	16090
1062	1913	16087
1063	1915	16083
1064	1916	16081
1065	1918	16077
1066	1919	16073
1067	1922	16074
1068	1923	16073
1069	1925	16070
1070	1927	16068
1071	1928	16065
1072	1930	16061
1073	1932	16057
1074	1933	16052
1075	1935	16051
1076	1936	16047
1077	1938	16044
1078	1940	16039
1079	1941	16035
1080	1943	16031
1081	1944	16027
1082	1946	16024
1083	1947	16019
1084	1949	16017
1085	1951	16016
1086	1952	16013
1087	1954	16007
1088	1955	16002
1089	1957	15999
1090	1959	15997
1091	1960	15994
1092	1962	15993
1093	1964	15992
1094	1966	15989
1095	1967	15985
1096	1969	15981
1097	1970	15979
1098	1972	15975
1099	1974	15972
1100	1975	15970
1101	1977	15969
1102	1979	15965
1103	1981	15963
1104	1982	15959
1105	1984	15955
1106	1985	15952
1107	1987	15947
1108	1988	15943
1109	1990	15942
1110	1992	15939
1111	1993	15936
1112	1995	15933
1113	1997	15930
1114	1998	15927
1115	2000	15923
1116	2001	15918
1117	2003	15915
1118	2005	15913
1119	2006	15911
1120	2008	15908
1121	2009	15903
1122	2011	15899
1123	2012	15894
1124	2014	15890
1125	2015	15887
1126	2017	15887
1127	2019	15884
1128	2021	15881
1129	2022	15876
1130	2024	15874
1131	2025	15871
1132	2027	15867
1133	2029	15863
1134	2030	15860
1135	2032	15859
1136	2034	15858
1137	2036	15858
1138	2038	15855
1139	2039	15850
1140	2040	15845
1141	2043	15846
1142	2045	15850
1143	2047	15851
1144	2050	15856
1145	2051	15852
1146	2053	15850
1147	2055	15848
1148	2057	15846
1149	2059	15848
1150	2061	15848
1151	2063	15846
1152	2064	15841
1153	2066	15838
1154	2067	15834
1155	2069	15831
1156	2071	15830
1157	2073	15829
1158	2074	15826
1159	2076	15824
1160	2077	15819
1161	2079	15815
1162	2080	15811
1163	2082	15809
1164	2084	15807
1165	2086	15805
1166	2087	15803
1167	2089	15801
1168	2091	15800
1169	2093	15797
1170	2095	15795
1171	2096	15791
1172	2098	15788
1173	2099	15787
1174	2101	15786
1175	2103	15784
1176	2105	15781
1177	2106	15776
1178	2108	15772
1179	2109	15770
1180	2111	15767
1181	2113	15767
1182	2115	15764
1183	2116	15761
1184	2118	15760
1185	2120	15759
1186	2122	15757
1187	2123	15754
1188	2125	15752
1189	2127	15749
1190	2128	15746
1191	2130	15742
1192	2131	15738
1193	2133	15736
1194	2135	15732
1195	2137	15731
1196	2138	15728
1197	2140	15724
1198	2142	15723
1199	2143	15721
1200	2145	15719
1201	2147	15716
1202	2148	15713
1203	2150	15709
1204	2151	15705
1205	2153	15702
1206	2155	15699
1207	2157	15700
1208	2159	15699
1209	2160	15696
1210	2162	15693
1211	2163	15689
1212	2165	15686
1213	2166	15681
1214	2168	15679
1215	2170	15680
1216	2172	15680
1217	2174	15677
1218	2176	15674
1219	2177	15671
1220	2179	15670
1221	2181	15668
1222	2183	15668
1223	2185	15668
1224	2186	15666
1225	2200	15745
1226	2202	15744
1227	2203	15741
1228	2205	15738
1229	2206	15735
1230	2208	15733
1231	2210	15731
1232	2212	15729
1233	2213	15727
1234	2215	15724
1235	2217	15721
1236	2218	15719
1237	2220	15716
1238	2222	15716
1239	2224	15712
1240	2226	15714
1241	2228	15715
1242	2230	15712
1243	2231	15709
1244	2233	15706
1245	2235	15703
1246	2236	15701
1247	2238	15699
1248	2240	15700
1249	2242	15698
1250	2244	15697
1251	2246	15695
1252	2247	15692
1253	2249	15690
1254	2251	15689
1255	2253	15687
1256	2255	15687
1257	2257	15687
1258	2259	15684
1259	2260	15681
1260	2262	15678
1261	2263	15675
1262	2265	15673
1263	2267	15670
1264	2269	15668
1265	2270	15666
1266	2272	15662
1267	2273	15659
1268	2275	15656
1269	2277	15652
1270	2278	15649
1271	2294	15742
1272	2295	15739
1273	2297	15736
1274	2299	15735
1275	2301	15733
1276	2303	15731
1277	2304	15730
1278	2306	15727
1279	2308	15723
1280	2309	15721
1281	2311	15719
1282	2313	15717
1283	2315	15715
1284	2316	15711
1285	2318	15709
1286	2320	15706
1287	2321	15702
1288	2323	15701
1289	2324	15696
1290	2326	15693
1291	2327	15689
1292	2329	15685
1293	2330	15682
1294	2332	15679
1295	2334	15675
